Week Start,Average Load Factor,Average Load Factor at Evening Peak,Average Load Factor at Night Minimum
2025-04-14,29.747172896992641,36.697488047758334,32.639365357857642
2025-04-21,25.091921101150245,24.111466278569253,26.013334656153148
2025-04-28,30.443101062299387,31.782633998742082,24.295967144632712
2025-05-05,30.981040588148957,38.823501771140933,21.972123162178889
2025-05-12,26.103139286487792,15.842338607020858,27.097208426139936
2025-05-19,43.593158444158803,34.583644186509602,47.420404575810103
2025-05-26,41.499539353145487,38.945091742288881,45.901460088763102
2025-06-02,37.763140343099714,38.969333475584364,35.731440572896787
2025-06-09,36.346818648032276,27.651883471752065,40.267587292771495
2025-06-16,42.833573236257969,40.159269794451738,44.590467513309669
2025-06-23,49.14128625551443,47.123999203315378,47.027783033150286
2025-06-30,51.249258864555522,50.821122427324596,33.439946826290132
2025-07-07,43.222257677331704,42.769945034133478,34.465501752053783
2025-07-14,25.768421700983062,29.135635557462415,15.85681013769673
2025-07-21,36.501494998910736,35.595013276158291,30.805276999492282
2025-07-28,55.060067308849689,52.413440177081959,41.27616903682901
2025-08-04,40.664681606933847,40.512537613223422,35.588546929367922
2025-08-11,18.846954587313387,24.320195072605369,16.182491435448398
2025-08-18,35.547161670310437,41.500675992277223,27.177169075588715
2025-08-25,22.865523843806308,30.160146657512719,20.359862752269073
2025-09-01,31.566348267844131,38.656895639302959,28.639400045820878
2025-09-08,29.811586900345461,35.873265743059989,31.887528546906342
2025-09-15,38.199643852039216,48.526271596542934,30.082604222351762
2025-09-22,33.028341627014704,41.094328457413638,35.215033853340181
2025-09-29,48.004505048163701,52.33457760940118,45.241121820984652
2025-10-06,30.106863736100376,41.353573318586733,23.139359559198542
2025-10-13,42.940792664105437,54.744594652158504,39.55026845892565
2025-10-20,34.329645149146174,46.479237270411105,32.781480843303726
2025-10-27,33.756359054043159,46.530430781499263,29.129729499474056
2025-11-03,37.782312961718567,53.886213019499976,33.412561751693048
2025-11-10,36.571796532784482,54.109480431913596,34.702534616062088
2025-11-17,37.716572728748432,52.870697241038158,36.090155073357536
2025-11-24,37.208621840492413,48.743348968972654,36.173948950014953
2025-12-01,35.768635327078805,50.849374798286426,38.05607032622239
2025-12-08,38.511310880446828,52.806609364568843,33.136093296300736
2025-12-15,38.025080944749689,55.575229519649938,31.407449296341923
2025-12-22,40.634275606285804,60.218847628836301,38.20146763868172
2025-12-29,34.403740810614977,54.429482369066641,30.357948205469416
2026-01-05,39.12213734576175,50.488235257132651,37.642276663317062
2026-01-12,37.47986706235681,61.755981121377737,29.160037414023748
2026-01-19,36.301767747281986,54.17005849917097,33.207065318095026
2026-01-26,34.714289659352119,52.708363306591941,32.83596894591647
2026-02-02,27.915332088679122,43.892982151915113,19.598492897286356
2026-02-09,37.931938104767674,49.310867767459406,38.695937859925003
