WeekStartDate,Forecast_Or_Actual_Value,Forecast_Or_Actual_Value_Legend
2026-02-23 12:00:00 AM,27054,2024-25-Residual Peak Demand
2026-02-23 12:00:00 AM,,2024-25-Residual Peak Forecast
2026-02-23 12:00:00 AM,23869,2025-26-Residual Peak Forecast
2026-03-02 12:00:00 AM,24097,2025-26-Residual Peak Forecast
2026-03-02 12:00:00 AM,,2024-25-Residual Peak Forecast
2026-03-02 12:00:00 AM,26925,2024-25-Residual Peak Demand
2026-03-02 12:00:00 AM,,2025-26-Residual Peak Demand
2026-03-02 12:00:00 AM,,2025-26-RSA Contracted Peak Demand
2026-03-02 12:00:00 AM,28809,2024-25-RSA Contracted Peak Demand
2026-03-09 12:00:00 AM,,2025-26-RSA Contracted Peak Demand
2026-03-09 12:00:00 AM,,2025-26-Residual Peak Demand
2026-03-09 12:00:00 AM,28946,2024-25-RSA Contracted Peak Demand
2026-03-09 12:00:00 AM,27334,2024-25-Residual Peak Demand
2026-03-09 12:00:00 AM,24126,2025-26-Residual Peak Forecast
2026-03-09 12:00:00 AM,,2024-25-Residual Peak Forecast
2026-03-16 12:00:00 AM,,2024-25-Residual Peak Forecast
2026-03-16 12:00:00 AM,24314,2025-26-Residual Peak Forecast
2026-03-16 12:00:00 AM,28905,2024-25-Residual Peak Demand
2026-03-16 12:00:00 AM,29555,2024-25-RSA Contracted Peak Demand
2026-03-16 12:00:00 AM,,2025-26-Residual Peak Demand
2026-03-16 12:00:00 AM,,2025-26-RSA Contracted Peak Demand
2026-03-23 12:00:00 AM,,2025-26-RSA Contracted Peak Demand
2026-03-23 12:00:00 AM,,2025-26-Residual Peak Demand
2026-03-23 12:00:00 AM,28736,2024-25-RSA Contracted Peak Demand
2026-03-23 12:00:00 AM,26917,2024-25-Residual Peak Demand
2026-03-23 12:00:00 AM,24191,2025-26-Residual Peak Forecast
2026-03-23 12:00:00 AM,,2024-25-Residual Peak Forecast
