WeekStartDate,Forecast_Or_Actual_Value,Forecast_Or_Actual_Value_Legend
14-Apr-2025,3974.8359999999998,2025-26-RSA Contracted Energy Demand
18-Aug-2025,3980.1190000000001,2025-26-RSA Contracted Energy Demand
21-Apr-2025,4020.8649999999998,2025-26-RSA Contracted Energy Demand
07-Apr-2025,4034.4679999999998,2025-26-RSA Contracted Energy Demand
31-Mar-2025,4056.4810000000002,2025-26-RSA Contracted Energy Demand
05-May-2025,4111.5479999999998,2025-26-RSA Contracted Energy Demand
11-Aug-2025,4157.1729999999998,2025-26-RSA Contracted Energy Demand
12-May-2025,4195.5820000000003,2025-26-RSA Contracted Energy Demand
04-Aug-2025,4219.5249999999996,2025-26-RSA Contracted Energy Demand
28-Jul-2025,4230.3639999999996,2025-26-RSA Contracted Energy Demand
21-Jul-2025,4239.3869999999997,2025-26-RSA Contracted Energy Demand
14-Jul-2025,4247.8310000000001,2025-26-RSA Contracted Energy Demand
02-Jun-2025,4250.6999999999998,2025-26-RSA Contracted Energy Demand
26-May-2025,4264.8059999999996,2025-26-RSA Contracted Energy Demand
19-May-2025,4283.2120000000004,2025-26-RSA Contracted Energy Demand
30-Jun-2025,4318.25,2025-26-RSA Contracted Energy Demand
07-Jul-2025,4321.5559999999996,2025-26-RSA Contracted Energy Demand
16-Jun-2025,4329.1570000000002,2025-26-RSA Contracted Energy Demand
09-Jun-2025,4379.4340000000002,2025-26-RSA Contracted Energy Demand
23-Jun-2025,4384.2399999999998,2025-26-RSA Contracted Energy Demand
